ФИО,Дата рождения,Адрес доставки,Дата оплаты,Валюта,Сумма
Козлова Ника Алексеевна,1993-02-11,"119180, Москва г, Полянка Б. ул, дом  1/3",2021-12-20,RUB,145132.21
Щеглов Руслан Александрович,2000-06-25,"192288, Санкт-Петербург г, Бухарестская ул, дом  130, корпус  1",2021-02-24,RUB,72017.09
Малышева София Давидовна,1984-12-26,"115487, Москва г, Андропова пр-кт, дом  28",2021-06-26,EUR,870.74
Ананьев Константин Михайлович,1994-04-29,"191036, Санкт-Петербург г, Кременчугская ул, дом  11, корпус  1",2021-05-11,RUB,212804.78
Русаков Сергей Адамович,2002-06-17,"143180, Московская обл, Звенигород г, Ветеранов проезд, дом  10, корпус  4",2021-08-26,RUB,85753.77
Комарова Полина Михайловна,1966-07-11,"Московская обл, Химки г",2021-11-24,RUB,57709.47
Греков Валерий Алексеевич,1993-08-16,"117452, Москва г, Азовская ул, дом  21",2021-12-14,USD,2295.4
Миронова Анастасия Ивановна,1996-01-26,"111396, Москва г, Союзный пр-кт, дом  10",2021-03-23,EUR,828.7
Трошина Алиса Ивановна,1975-10-19,"117303, Москва г, Каховка ул, дом  7, корпус  1",2021-11-12,RUB,47672.54
Смирнова Надежда Макаровна,1971-05-26,"129329, Москва г, Игарский проезд, дом  8",2021-11-03,RUB,71183.01
Шаповалов Тимур Максимович,1964-11-09,"127562, Москва г, Хачатуряна ул, дом  12, корпус  1",2021-10-11,RUB,91626.47
Греков Валерий Алексеевич,1993-08-16,"119192, Москва г, Мичуринский пр-кт, дом  17",2021-12-09,RUB,199489.81
Никулин Иван Константинович,1996-08-16,"142003, Московская обл, Домодедово г, Западный мкр, 25 лет Октября ул, дом  20",2021-12-07,USD,1165.61
Шаров Тимур Львович,1968-03-26,"109156, Москва г, Генерала Кузнецова ул, дом  13, корпус  3",2021-03-19,USD,1779.29
Давыдов Ярослав Кириллович,1962-03-14,"121601, Москва г, Филевский б-р, дом  35",2021-01-11,RUB,41447.42
Кравцова Вероника Алексеевна,1981-11-10,"196158, Санкт-Петербург г, Пулковская ул, дом  10, корпус  1",2021-05-04,RUB,51051.49
Осипов Глеб Романович,1964-02-27,"127591, Москва г, Дубнинская ул, дом  26, корпус  5",2021-07-16,RUB,55477.23
Коновалов Денис Дмитриевич,1951-06-22,"105425, Москва г, Щелковский проезд, дом  2",2021-08-12,USD,471.42
Чернышев Григорий Матвеевич,1997-10-20,"197136, Санкт-Петербург г, Гатчинская ул, дом  27",2021-04-12,RUB,14509.93
Попов Даниил Степанович,1972-06-22,"196135, Санкт-Петербург г, Фрунзе ул, дом  25",2021-06-22,RUB,87855.31
Быкова Милана Георгиевна,1975-09-18,"141551, Московская обл, Солнечногорский р-н, Голубое д, Родниковая ул, дом  2",2021-06-18,RUB,24769.85
Соколова Виктория Егоровна,2001-08-10,"Санкт-Петербург г, Понтонный п, Зареченская",2021-10-01,EUR,285.7
Калмыков Артём Иванович,1957-01-03,"198095, Санкт-Петербург г, Шкапина ул, дом  22",2021-09-05,RUB,25238.3
Гущина Стефания Викторовна,1982-07-09,"196603, Санкт-Петербург г, Пушкин г, Парковая ул, дом  44/2",2021-01-20,RUB,61051.63
Новикова Александра Артёмовна,1980-10-14,"111675, Москва г, Дмитриевского ул, дом  11",2021-01-20,USD,375.78
Филатова Яна Глебовна,1990-11-10,"125565, Москва г, Флотская ул, дом  4",2021-09-26,EUR,378.87
Парфенов Артём Демидович,1974-05-13,"127015, Москва г, Бутырская ул, дом ",2021-03-18,RUB,52388.87
Голубева Эмилия Тиграновна,1967-12-16,"129347, Москва г, Проходчиков ул, дом  1",2021-09-13,RUB,61465.63
Захаров Виктор Михайлович,1976-02-17,"127473, Москва г, Самотечный 2-й пер, дом  4",2021-07-28,RUB,69419.15
Орехов Захар Андреевич,2002-01-16,"127549, Москва г, Алтуфьевское ш, дом  64",2021-01-12,RUB,30095.07
Ермолаев Сергей Юрьевич,1995-03-27,"115533, Москва г, Высокая ул, дом  4",2021-09-21,RUB,135935.61
Константинов Иван Романович,1953-05-31,"144004, Московская обл, Электросталь г, Южный пр-кт, дом  7, корпус  5",2021-04-19,RUB,53259.1
Савина Есения Андреевна,1977-06-02,"198255, Санкт-Петербург г, Ветеранов пр-кт, дом  3, корпус  1",2021-04-17,RUB,10110.89
Сычева Кристина Богдановна,2000-04-01,"194356, Санкт-Петербург г, Асафьева ул, дом  5, корпус  1",2021-10-14,RUB,42835.66
Григорьева Аиша Сергеевна,1997-10-19,"143968, Московская обл, Реутов г, Н.А.Некрасова ул, дом  14",2021-08-08,RUB,47720.8
Лазарева Виктория Кирилловна,2000-12-24,"125445, Москва г, Левобережная ул, дом  4, корпус  18",2021-07-09,RUB,38528.49
Трофимова Сафия Сергеевна,1984-05-16,"127081, Москва г, Полярная ул, дом  13, корпус  1",2021-08-09,RUB,27021.83
Алексеева Виктория Ивановна,1985-07-06,"108814, Москва г, Сосенское п, дом  3",2021-09-23,RUB,155963.53
Ульянов Мирон Викторович,1974-08-19,"119634, Москва г, Чоботовская ул, дом  15",2021-03-08,RUB,67259.34
Федорова Анна Гордеевна,1988-09-27,"119019, Москва г, Гоголевский б-р, дом  23",2021-07-13,EUR,1600.39
Латышева Евгения Ильинична,1958-03-18,"121353, Москва г, Беловежская ул, дом  85",2021-12-05,RUB,50219.0
Литвинов Роман Тимофеевич,1964-10-08,"141707, Московская обл, Долгопрудный г, Лихачевский пр-кт, дом  70, корпус  2",2021-05-26,USD,609.12
Новикова Анастасия Дмитриевна,1968-02-17,"125057, Москва г, Новопесчаная ул, дом  9",2021-04-12,RUB,62051.52
Леонова Мария Максимовна,1972-03-14,"117535, Москва г, Россошанская ул, дом  5, корпус  2",2021-06-03,RUB,73402.48
Анисимова Ксения Руслановна,1979-08-07,"117042, Москва г, Чечерский проезд, дом  38",2021-10-05,RUB,36254.79
Осипова Ева Григорьевна,1971-01-14,"115404, Москва г, Стекольная 1-я ул, дом  7, корпус ",2021-10-10,USD,272.26
Харитонов Елисей Русланович,1996-05-26,"117342, Москва г, Островитянова ул, дом  41, корпус  1",2021-07-13,RUB,46408.06
Лебедев Кирилл Миронович,1985-12-01,"115563, Москва г, Борисовский проезд, дом  36, корпус  2",2021-01-12,RUB,99705.55
Денисов Николай Дмитриевич,1977-12-18,"195220, Санкт-Петербург г, Бутлерова ул, дом  14",2021-03-06,RUB,25866.01
Чернышева Полина Тимуровна,1991-05-10,"196641, Санкт-Петербург г, Металлострой п, Полевая ул, дом  19",2021-02-26,RUB,43068.06
Гончаров Иван Тимурович,1987-09-09,"195112, Санкт-Петербург г, Шаумяна пр-кт, дом  55",2021-04-13,RUB,115076.31
Юдин Леон Дамирович,2000-08-26,"127474, Москва г, Бескудниковский б-р, дом  2, корпус  3",2021-06-08,RUB,94147.01
Рудаков Артём Иванович,1987-07-01,"117463, Москва г, Голубинская ул, дом  29, корпус  1",2021-05-04,USD,1820.13
Петровская Вероника Михайловна,1981-06-02,"125315, Москва г, Ленинградский пр-кт, дом  66",2021-03-18,USD,106.74
Казакова Надежда Ильинична,1985-05-18,"195271, Санкт-Петербург г, Кондратьевский пр-кт, дом  64, корпус  8",2021-03-18,RUB,90908.34
Артемов Лев Иванович,1984-05-08,"127495, Москва г, Челобитьевское ш, дом  1, корпус  70",2021-08-04,USD,2202.49
Кузнецов Матвей Ярославович,1975-06-23,"143005, Московская обл, Одинцовский р-н, Одинцово г, Говорова ул, дом  50",2021-01-03,RUB,71701.03
Никонов Даниил Константинович,1966-12-02,"141212, Московская обл, Пушкинский р-н, Лесные Поляны п, Ленина ул, дом  9",2021-12-07,RUB,118921.08
Жуков Фёдор Александрович,1988-07-06,"117546, Москва г, Медынская ул, дом  11",2021-11-15,RUB,2226.34
Борисова Малика Тимофеевна,1996-04-16,"107241, Москва г, Амурская ул, дом  68",2021-06-24,RUB,17983.94
Беляева Вероника Александровна,1994-03-08,"198326, Санкт-Петербург г, Политрука Пасечника (Торики) ул, дом  10",2021-10-09,RUB,64668.32
Алексеева Ольга Никитична,1985-09-19,"115516, Москва г, Луганская ул, дом  4, корпус ",2021-07-27,RUB,54373.07
Мухина Елизавета Максимовна,1983-12-22,"117461, Москва г, Керченская ул, дом  8",2021-02-04,EUR,1181.69
Климов Андрей Филиппович,1998-12-06,"197101, Санкт-Петербург г, Большая Монетная ул, дом  29",2021-08-10,USD,1784.61
Тихонов Егор Артёмович,1998-06-11,"117624, Москва г, Скобелевская ул, дом  1, корпус  6",2021-03-22,RUB,70985.58
Лукьянова Алиса Кирилловна,1982-04-12,"125438, Москва г, Лихачевский 3-й пер, дом  7, корпус  3",2021-08-25,RUB,75180.19
Панова Надежда Григорьевна,1995-08-31,"107392, Москва г, Просторная ул, дом  14, корпус  3",2021-05-11,RUB,51101.08
Павлов Илья Сергеевич,1953-03-24,"109451, Москва г, Верхние Поля ул, дом  32, корпус  1",2021-11-23,RUB,4499.32
Орлов Константин Сергеевич,1954-04-01,"115432, Москва г, Трофимова ул, дом  20",2021-09-17,RUB,21061.96
Смирнова Надежда Макаровна,1971-05-26,"121352, Москва г, Славянский б-р, дом  9, корпус  6",2021-01-27,RUB,51394.48
Касаткина Амелия Кирилловна,1977-03-22,"141551, Московская обл, Солнечногорский р-н, Андреевка рп, дом  23",2021-07-03,RUB,22717.04
Попов Ярослав Николаевич,1962-03-12,"197375, Санкт-Петербург г, Репищева ул, дом  21, корпус  1",2021-07-08,USD,539.49
Филиппов Борис Маркович,1961-02-20,"125167, Москва г, Викторенко ул, дом  4, корпус  1",2021-07-09,RUB,76347.81
Коровин Тимур Евгеньевич,1969-06-22,"198320, Санкт-Петербург г, Красное Село г, Свободы ул, дом  23",2021-05-14,RUB,39166.28
Смирнова Надежда Макаровна,1971-05-26,"199406, Санкт-Петербург г, Беринга ул, дом  5",2021-09-14,RUB,46546.42
Беляева Вероника Александровна,1994-03-08,"123458, Москва г, Таллинская ул, дом  3, корпус  1",2021-12-24,RUB,67804.95
Афанасьева Ева Викторовна,1978-05-17,"109377, Москва г, Зеленодольская ул, дом  7, корпус  7",2021-09-13,USD,588.18
Федотов Ярослав Фёдорович,1971-09-11,"194356, Санкт-Петербург г, Асафьева ул, дом  5, корпус  1",2021-10-30,RUB,114104.64
Панова Надежда Григорьевна,1995-08-31,"107392, Москва г, Просторная ул, дом  11",2021-11-04,EUR,1664.98
Лобанова Елизавета Платоновна,1974-09-01,"197341, Санкт-Петербург г, Фермское ш, дом  36, корпус  5",2021-07-10,RUB,58590.43
Воробьева София Андреевна,2001-12-04,"198261, Санкт-Петербург г, Бурцева ул, дом  16",2021-10-26,RUB,24345.48
Соболева София Никитична,1950-08-09,"192012, Санкт-Петербург г, Бабушкина ул, дом  82, корпус  2",2021-01-10,USD,216.37
Гончаров Лев Михайлович,1980-08-09,"115477, Москва г, Пролетарский пр-кт, дом  41",2021-06-29,USD,2583.83
Филимонова Эмилия Артуровна,1966-07-29,"693006, Сахалинская обл, Южно-Сахалинск г, Мира пр-кт, дом  290А",2021-04-13,RUB,63649.26
Литвинов Роман Тимофеевич,1964-10-08,"115547, Москва г, Бирюлевская ул, дом  52, корпус  1",2021-11-03,RUB,159746.58
Смирнов Иван Михайлович,1982-03-08,"107143, Москва г, Открытое ш, дом  21, корпус  9",2021-11-09,RUB,158903.53
Муравьев Даниил Борисович,1991-07-25,"142506, Московская обл, Павлово-Посадский р-н, Павловский Посад г, Грибовское снт, дом  1",2021-02-27,RUB,65112.12
Кулешова Николь Александровна,1973-07-20,"107150, Москва г, Подбельского 5-й проезд, дом  4а, корпус  3",2021-10-05,RUB,19764.56
Чернышева Полина Тимуровна,1991-05-10,"107241, Москва г, Байкальская ул, дом  18, корпус  1",2021-12-21,RUB,172183.94
Соловьев Кирилл Дмитриевич,1979-07-23,"105066, Москва г, Красносельская Нижн. ул, дом  35, корпус  49",2021-08-16,EUR,814.58
Гаврилова Варвара Матвеевна,1957-05-13,"119571, Москва г, Академика Анохина ул, дом  5, корпус  1",2021-09-20,USD,214.06
Савицкая Ева Григорьевна,1982-01-13,"142502, Московская обл, Павлово-Посадский р-н, Павловский Посад г, Орджоникидзе ул, дом  7А",2021-09-11,USD,316.56
Куликов Арсений Никитич,1978-02-25,"197341, Санкт-Петербург г, Королева пр-кт, дом  19",2021-06-30,USD,1975.01
Новикова Майя Михайловна,1952-05-13,"129323, Москва г, Седова ул, дом  7, корпус  1",2021-02-19,RUB,6558.4
Кравцова Варвара Макаровна,1968-03-03,"150018, Ярославская обл, Ярославль г, Тутаевское ш, дом  69",2021-04-21,EUR,466.36
Леонова Таисия Фёдоровна,1976-12-02,"195197, Санкт-Петербург г, Маршала Блюхера пр-кт, дом  9, корпус  3",2021-12-21,RUB,84269.17
Михеев Макар Александрович,1952-10-03,"123242, Москва г, Кудринская пл, дом  1",2021-07-12,RUB,49447.83
Осипова Ева Григорьевна,1971-01-14,"129226, Москва г, Сельскохозяйственная ул, дом  14, корпус  1",2021-12-26,RUB,57545.39
Ларионов Кирилл Макарович,1969-11-23,"141865, Московская обл, Дмитровский р-н, Некрасовский рп, Северная ул, дом  3",2021-06-07,RUB,141948.04
Юдин Леон Дамирович,2000-08-26,"111558, Москва г, Саперный проезд, дом  11",2021-08-21,RUB,15778.32
Гущин Егор Георгиевич,1965-08-05,"195299, Санкт-Петербург г, Руставели ул, дом  52",2021-10-26,RUB,72249.73
Васильев Георгий Глебович,1962-01-02,"195197, Санкт-Петербург г, Маршала Блюхера пр-кт, дом  4, корпус  1",2021-09-26,RUB,103324.19
Комиссарова Василиса Михайловна,1960-04-22,"127427, Москва г, Ботаническая ул, дом  17, корпус  2",2021-01-23,RUB,46281.14
Федорова Анна Гордеевна,1988-09-27,"196084, Санкт-Петербург г, Смоленская ул, дом  7",2021-11-29,USD,525.12
Александрова Ирина Ивановна,1967-03-07,"123056, Москва г, Грузинская Б. ул, дом  62",2021-03-19,RUB,18559.42
Александров Александр Артемьевич,1988-02-16,"109052, Москва г, Нижегородская ул, дом  70, корпус  2",2021-09-03,RUB,68763.79
Евдокимов Игорь Олегович,1993-12-04,"197739, Санкт-Петербург г, Солнечное п, Ленинградская ул, дом ",2021-12-16,RUB,167340.99
Лебедев Кирилл Миронович,1985-12-01,"124527, Москва г, Зеленоград г, дом  к830",2021-08-14,RUB,292157.8
Литвинов Роман Тимофеевич,1964-10-08,"193312, Санкт-Петербург г, Солидарности пр-кт, дом  14, корпус  1",2021-04-12,USD,1648.09
Гаврилов Владимир Даниилович,1958-07-25,"123308, Москва г, Мневники ул, дом  7, корпус  1",2021-02-02,RUB,56098.92
Терентьев Георгий Максимович,1988-04-26,"109559, Москва г, Белореченская ул, дом  12",2021-02-06,RUB,133493.81
Маркин Дмитрий Романович,1983-08-23,"115563, Москва г, Шипиловская ул, дом  25, корпус  1",2021-07-10,USD,680.51
Клюев Лев Александрович,1983-02-13,"109377, Москва г, Академика Скрябина ул, дом  58/1",2021-12-05,RUB,99659.6
Шаров Тимур Львович,1968-03-26,"123290, Москва г, Шелепихинская наб, дом  14",2021-11-09,RUB,172259.15
Нестеров Александр Всеволодович,1978-02-06,"192171, Санкт-Петербург г, Ивановская ул, дом  29",2021-08-22,RUB,63001.87
Шаров Тимур Львович,1968-03-26,"101000, Москва г, Покровский б-р, дом  4/17, корпус  6",2021-10-20,RUB,134701.97
Филиппов Платон Саввич,1983-05-09,"109451, Москва г, Мячковский б-р, дом  1",2021-07-12,RUB,92833.69
Кулешова Агата Георгиевна,1978-08-08,"109651, Москва г, Новочеркасский б-р, дом ",2021-12-22,RUB,74262.8
Соболева Ангелина Ильинична,1999-09-14,"115088, Москва г, Шарикоподшипниковская ул, дом  2",2021-11-17,EUR,133.22
Филиппов Константин Егорович,1995-04-09,"197082, Санкт-Петербург г, Богатырский пр-кт, дом  55, корпус ",2021-12-07,RUB,95480.07
Беляева Вероника Александровна,1965-12-09,"119180, Москва г, Полянка Б. ул, дом  28, корпус  2",2021-02-03,RUB,18217.61
Муравьева Анастасия Тимофеевна,1995-05-04,"111396, Москва г, Фрязевская ул, дом  11, корпус  3",2021-07-30,RUB,89666.75
Панков Иван Тимофеевич,1962-05-27,"193312, Санкт-Петербург г, Товарищеский пр-кт, дом  8",2021-03-12,RUB,21172.43
Артамонова Анна Игоревна,1962-05-05,"125008, Москва г, Академическая Б. ул, дом  29",2021-02-02,RUB,44828.16
Панин Лев Андреевич,1981-04-09,"119526, Москва г, Вернадского пр-кт, дом  95, корпус  2",2021-05-20,EUR,1730.5
Литвинов Роман Тимофеевич,1964-10-08,"426019, Удмуртская Респ, Ижевск г, Нагорная ул, дом  38",2021-06-16,RUB,39058.99
Савельев Матвей Егорович,1976-10-23,"123298, Москва г, Ирины Левченко ул, дом  6",2021-07-17,RUB,35528.04
Прокофьев Роман Львович,1990-10-22,"193318, Санкт-Петербург г, Бадаева ул, дом  11",2021-04-17,RUB,111778.99
Аксенова Екатерина Алексеевна,1969-12-17,"123592, Москва г, Кулакова ул, дом  10",2021-11-29,RUB,67947.04
Нефедов Алексей Антонович,1959-10-19,"105118, Москва г, Соколиной Горы 10-я ул, дом  6, корпус  1",2021-12-24,EUR,917.52
Лопатин Артём Андреевич,1996-09-09,"115191, Москва г, Мытная ул, дом  62",2021-06-21,RUB,58855.89
Кузнецов Григорий Михайлович,1986-02-07,"121500, Москва г, Новолучанская ул, дом  7, корпус  1",2021-09-28,USD,2410.72
Мельникова Нина Александровна,1978-11-18,"117152, Москва г, Загородное ш, дом  9, корпус  3",2021-11-12,RUB,37661.61
Прокофьев Дмитрий Даниэльевич,1990-06-02,"127566, Москва г, Римского-Корсакова ул, дом  11, корпус  8",2021-06-08,EUR,2188.87
Демидов Матвей Юрьевич,1970-07-13,"115211, Москва г, Борисовские Пруды ул, дом  23, корпус  2",2021-03-25,RUB,128020.25
Сомов Савелий Тимурович,1999-01-02,"194100, Санкт-Петербург г, Новолитовская ул, дом  10",2021-03-17,RUB,50575.67
Панков Иван Тимофеевич,1962-05-27,"129345, Москва г, Тайнинская ул, дом  9",2021-08-17,RUB,72985.96
Жуков Фёдор Александрович,1988-07-06,"191036, Санкт-Петербург г, Восстания ул, дом  3-5",2021-05-27,EUR,1503.24
Овчинникова Алина Ильинична,1987-11-12,"117420, Москва г, Наметкина ул, дом  11, корпус  1",2021-07-12,USD,1462.3
Леонов Марк Михайлович,1967-02-19,"121500, Москва г, Новолучанская ул, дом  1, корпус  1",2021-05-30,RUB,48498.16
Маслова Маргарита Максимовна,1980-06-16,"115597, Москва г, Гурьевский проезд, дом  23, корпус  2",2021-06-13,RUB,49833.72
Гончаров Иван Тимурович,1987-09-09,"195220, Санкт-Петербург г, Бутлерова ул, дом  11, корпус  1",2021-04-08,RUB,255917.7
Лебедева Есения Марковна,1988-06-25,"196603, Санкт-Петербург г, Пушкин г, Красносельское ш, дом  53",2021-04-08,RUB,35281.61
Попов Ярослав Николаевич,1962-03-12,"119192, Москва г, Мичуринский пр-кт, дом  34",2021-02-03,RUB,25345.49
Алексеев Захар Степанович,1984-01-21,"143530, Московская обл, Истринский р-н, Дедовск г, Ленина ул, дом  5",2021-05-19,RUB,190335.85
